row,correlation,amplitude,PSD,band power,entropy,variance,duration,spatial pattern,topography,RMS,coherence,alpha,latency,covariance
ICA,125,132,79,66,53,66,42,33,79,23,22,22,26,21
wavelet/DWT/CWT,84,70,79,66,111,46,51,51,17,25,33,8,17,10
threshold,114,161,43,62,40,58,73,10,38,17,16,27,31,15
classifier,62,50,54,60,82,52,40,54,23,12,20,22,23,18
regression/GLM,108,69,43,47,30,54,37,20,16,15,10,27,16,17
SVM,51,28,62,43,65,33,19,54,6,16,17,15,15,12
CNN,53,28,49,22,67,28,23,60,16,12,9,5,15,7
reconstruction/imputation,61,65,34,22,23,41,23,14,26,16,11,12,11,18
band-pass,35,75,41,62,18,21,34,15,14,4,9,11,5,7
PCA,60,27,27,15,23,45,8,17,15,9,8,6,5,21
FFT,12,31,56,49,20,16,17,15,6,8,8,15,4,4
EMD/EEMD,57,17,27,15,36,13,12,18,4,12,8,2,4,2
Welch,11,6,109,45,12,16,17,3,4,4,6,15,1,0
spectrogram/STFT,19,27,42,31,23,16,15,21,6,7,6,10,7,4
