row,Ocular / blink / EOG,Line / mains noise,Muscle / EMG,Cardiac / ECG / BCG,Motion / head movement,Bad channel / electrode contact,Rejected epoch / segment,Drift / sweat / cable,TMS artifact,fMRI gradient artifact
ICA,339,135,201,91,117,52,23,9,8,9
band-pass,144,217,85,48,50,54,6,11,3,9
notch/band-stop,83,224,60,23,32,30,4,6,2,2
threshold,120,44,78,36,37,31,22,5,13,2
wavelet/DWT/CWT,104,37,76,50,26,10,1,6,3,1
high-pass,64,98,49,16,29,34,12,9,1,1
low-pass,76,97,48,22,28,29,3,6,0,1
reconstruction/imputation,85,35,57,31,38,11,5,1,3,1
interpolation,68,47,28,19,23,38,15,2,5,2
classifier,74,26,45,34,29,12,3,1,7,0
regression/GLM,89,24,36,28,31,7,6,0,1,2
SOBI/BSS,87,20,51,24,23,6,3,0,0,2
PCA,51,26,30,34,16,6,3,0,2,5
CNN,60,16,40,35,7,5,1,0,3,1
