row,EEGLAB,MATLAB,ADJUST,ICLabel,FASTER,Python,FieldTrip,BioSemi,BrainVision,clean_rawdata,CleanLine,PREP pipeline,MNE-Python,MARA
Ocular / blink / EOG,121,73,51,31,36,28,12,16,10,9,4,9,10,7
Line / mains noise,103,83,13,21,13,10,10,5,8,12,23,12,5,3
Muscle / EMG,63,40,20,20,21,16,10,12,4,4,1,0,9,4
Bad channel / electrode contact,53,44,13,9,7,3,7,4,8,10,4,9,1,3
Motion / head movement,33,20,16,9,9,3,3,7,2,3,2,2,1,6
Cardiac / ECG / BCG,34,34,3,3,9,7,3,4,7,0,1,1,2,4
Rejected epoch / segment,9,7,3,3,1,3,2,0,0,1,0,1,2,1
fMRI gradient artifact,14,11,1,0,1,1,1,0,3,1,0,0,0,0
IC/component label,7,1,3,13,2,2,0,0,0,0,0,0,0,0
Artifact label / class,2,1,1,4,2,3,1,0,0,0,0,0,2,2
