row,Ocular / blink / EOG,Muscle / EMG,Cardiac / ECG / BCG,Motion / head movement,Line / mains noise,Bad channel / electrode contact,Rejected epoch / segment,TMS artifact,Artifact label / class,fMRI gradient artifact
correlation,107,91,53,41,29,25,7,8,4,4
accuracy,104,84,49,44,29,28,2,8,5,1
SNR,82,59,34,48,30,29,8,1,2,1
sensitivity,47,27,24,21,17,12,1,1,4,2
precision,29,15,18,13,7,8,0,3,0,0
MSE,29,16,8,3,2,2,0,0,0,0
p-value,18,12,8,5,3,10,3,1,1,0
RMSE,26,15,8,2,2,1,0,0,1,1
specificity,13,8,10,8,8,2,1,3,1,0
recall,12,6,7,3,6,4,0,0,1,0
AUC/ROC,12,5,9,6,2,2,0,2,0,0
F1/F-score,14,4,6,2,6,5,0,0,1,0
effect size/Cohen d/CI,13,7,4,5,2,2,1,0,0,1
removed components/rejection rate,7,4,4,2,3,1,12,0,0,0
