row,MATLAB,EEGLAB,FASTER,Python,ADJUST,ICLabel,FieldTrip,MNE-Python,R,XGBoost,MARA,Brainstorm,EDF,scikit-learn
amplitude,49,53,25,14,16,7,10,7,1,2,3,5,2,0
band power,46,36,25,11,16,7,13,4,4,4,2,3,2,4
correlation,30,35,19,17,20,8,7,6,9,4,1,2,2,3
PSD,38,35,9,26,8,9,5,10,2,2,3,1,3,2
duration,45,30,13,7,9,7,6,3,2,1,0,1,4,1
variance,18,28,11,8,13,15,8,2,7,1,5,1,1,1
topography,19,32,11,4,9,9,10,3,0,0,6,1,0,2
alpha,15,11,13,4,9,3,2,1,3,0,1,1,0,0
entropy,10,4,6,10,2,1,1,4,1,4,0,0,4,1
latency,11,10,10,5,2,2,1,1,0,1,0,0,0,0
covariance,7,4,3,7,1,1,2,4,3,1,0,5,0,3
beta,4,7,16,0,4,1,1,0,1,1,0,0,0,0
RMS,7,4,2,6,4,5,0,1,0,0,1,0,0,0
coherence,13,3,5,3,3,0,1,1,0,0,1,2,1,1
