level,label,article_count,percent_articles,mention_count
feature,amplitude,607,75.78027465667915,5437
feature,correlation,579,72.28464419475655,6036
feature,duration,569,71.0362047440699,3027
feature,band power,526,65.66791510611735,5919
feature,variance,470,58.67665418227216,1859
feature,PSD,466,58.177278401997505,4676
feature,topography,401,50.06242197253433,2272
feature,alpha,347,43.320848938826465,3715
feature,entropy,301,37.578027465667915,3685
feature,beta,267,33.333333333333336,1798
feature,latency,258,32.20973782771536,1806
feature,coherence,254,31.7103620474407,1872
feature,theta,240,29.9625468164794,1627
feature,gamma,240,29.9625468164794,1291
feature,spatial pattern,235,29.33832709113608,864
feature,covariance,179,22.347066167290887,829
feature,RMS,163,20.34956304619226,969
feature,phase-locking/PLV,153,19.10112359550562,1469
feature,delta,152,18.976279650436954,668
feature,SampEn,91,11.36079900124844,540
feature,fractal dimension,69,8.614232209737828,354
feature,peak-to-peak,68,8.489388264669163,546
feature,ApEn,68,8.489388264669163,300
