row,EEGLAB,MATLAB,Python,FASTER,ICLabel,ADJUST,XGBoost,MNE-Python,FieldTrip,clean_rawdata,scikit-learn,MARA,PREP pipeline,CleanLine
ICA,279,72,22,46,59,67,3,13,17,15,2,25,13,6
band-pass,97,87,20,8,12,12,0,12,14,7,0,4,8,5
threshold,49,39,22,73,25,25,2,12,6,4,2,9,4,3
classifier,18,27,65,20,48,15,15,8,1,0,45,5,1,0
high-pass,60,49,8,13,8,4,0,3,4,9,0,3,6,6
interpolation,47,19,5,16,17,14,0,4,10,9,0,5,9,8
notch/band-stop,52,51,13,5,6,3,0,4,6,4,0,1,6,6
reconstruction/imputation,48,29,16,4,16,11,0,6,3,14,3,1,5,5
low-pass,52,48,10,11,3,3,0,3,5,4,0,1,4,4
FIR,56,46,10,4,4,5,0,3,5,8,0,2,3,6
ASR,41,17,5,5,13,10,0,1,1,16,1,2,5,6
wavelet/DWT/CWT,8,29,16,12,10,11,8,2,3,0,2,5,6,1
regression/GLM,18,23,11,3,3,8,10,4,1,1,8,1,2,5
CNN,5,11,15,13,1,8,10,2,0,0,1,0,1,0
