level,label,article_count,percent_articles,mention_count
method,ICA,580,72.40948813982521,7452
method,threshold,544,67.9151061173533,3261
method,band-pass,470,58.67665418227216,2658
method,classifier,468,58.42696629213483,5406
method,regression/GLM,392,48.93882646691635,2534
method,wavelet/DWT/CWT,377,47.06616729088639,5765
method,reconstruction/imputation,344,42.94631710362047,2115
method,low-pass,274,34.20724094881398,1230
method,SVM,263,32.833957553058674,3270
method,high-pass,263,32.833957553058674,1352
method,notch/band-stop,263,32.833957553058674,814
method,CNN,254,31.7103620474407,4965
method,PCA,245,30.586766541822723,1414
method,interpolation,238,29.712858926342072,742
method,SOBI/BSS,224,27.965043695380775,1695
method,LSTM,163,20.34956304619226,1810
method,kNN,152,18.976279650436954,3220
method,EMD/EEMD,148,18.476903870162296,1745
method,FIR,147,18.352059925093634,459
method,FFT,143,17.852684144818976,527
method,Welch,140,17.478152309612984,379
method,spectrogram/STFT,138,17.228464419475657,1326
method,RNN,130,16.22971285892634,869
method,Random Forest,125,15.605493133583021,585
method,CCA,114,14.232209737827715,1083
method,LDA,111,13.857677902621722,719
method,z-score,102,12.734082397003744,622
method,ASR,95,11.860174781523096,1044
