level,label,article_count,percent_articles,mention_count
tool,MATLAB,434,54.18227215980025,1107
tool,EEGLAB,362,45.19350811485643,1345
tool,FASTER,280,34.95630461922597,704
tool,ADJUST,218,27.21598002496879,473
tool,Python,214,26.716604244694132,748
tool,ICLabel,91,11.36079900124844,331
tool,FieldTrip,72,8.98876404494382,235
tool,BioSemi,68,8.489388264669163,153
tool,scikit-learn,61,7.615480649188514,270
tool,MNE-Python,60,7.49063670411985,251
tool,R,56,6.991260923845194,107
tool,PREP pipeline,55,6.866416978776529,217
tool,BrainVision,49,6.117353308364544,155
tool,EDF,44,5.493133583021224,101
tool,MARA,42,5.2434456928838955,111
tool,LSL,34,4.2446941323345815,220
tool,clean_rawdata,32,3.9950062421972534,67
tool,CleanLine,30,3.745318352059925,53
tool,Brainstorm,29,3.620474406991261,130
tool,PyTorch,29,3.620474406991261,40
tool,XGBoost,26,3.2459425717852683,118
tool,Keras,24,2.9962546816479403,48
tool,Autoreject,17,2.1223470661672907,92
tool,SASICA,17,2.1223470661672907,52
