level,label,article_count,percent_articles,mention_count
metric,correlation,594,74.15730337078652,6265
metric,accuracy,573,71.53558052434457,11299
metric,sensitivity,438,54.6816479400749,2402
metric,p-value,335,41.822721598002495,2806
metric,SNR,327,40.823970037453186,4287
metric,precision,321,40.0749063670412,1833
metric,F1/F-score,199,24.84394506866417,3300
metric,effect size/Cohen d/CI,195,24.344569288389515,1147
metric,recall,193,24.094881398252184,1105
metric,specificity,193,24.094881398252184,789
metric,AUC/ROC,139,17.35330836454432,1517
metric,MSE,110,13.732833957553058,749
metric,R2,91,11.36079900124844,590
metric,RMSE,58,7.240948813982522,739
metric,removed components/rejection rate,44,5.493133583021224,76
metric,MAE,34,4.2446941323345815,375
