level,label,article_count,percent_articles,mention_count
feature,ApEn,68,8.489388264669163,300
feature,PSD,466,58.177278401997505,4676
feature,RMS,163,20.34956304619226,969
feature,SampEn,91,11.36079900124844,540
feature,alpha,347,43.320848938826465,3715
feature,amplitude,607,75.78027465667915,5437
feature,band power,526,65.66791510611735,5919
feature,beta,267,33.333333333333336,1798
feature,coherence,254,31.7103620474407,1872
feature,correlation,579,72.28464419475655,6036
feature,covariance,179,22.347066167290887,829
feature,delta,152,18.976279650436954,668
feature,duration,569,71.0362047440699,3027
feature,entropy,301,37.578027465667915,3685
feature,fractal dimension,69,8.614232209737828,354
feature,gamma,240,29.9625468164794,1291
feature,latency,258,32.20973782771536,1806
feature,peak-to-peak,68,8.489388264669163,546
feature,phase-locking/PLV,153,19.10112359550562,1469
feature,spatial pattern,235,29.33832709113608,864
feature,theta,240,29.9625468164794,1627
feature,topography,401,50.06242197253433,2272
feature,variance,470,58.67665418227216,1859
marker,.vmrk marker file,4,0.4993757802746567,8
marker,Artifact annotation/label,20,2.4968789013732833,42
marker,Bad-channel label/list,2,0.24968789013732834,16
marker,IC/component label,94,11.735330836454432,393
marker,Response marker,74,9.238451935081148,180
marker,Seizure onset/offset label,80,9.987515605493133,527
marker,Sleep stage label,141,17.60299625468165,1920
marker,Stimulus onset marker,122,15.230961298377029,390
marker,Task/block onset-offset,5,0.6242197253433208,10
marker,Trial/condition/class label,221,27.590511860174782,543
marker,events.tsv / BIDS events,4,0.4993757802746567,61
marker_artifact,Artifact label / class,31,3.8701622971285894,126
marker_artifact,Bad channel / electrode contact,373,46.566791510611736,1873
marker_artifact,Bad-channel label/list,1,0.12484394506866417,7
marker_artifact,Cardiac / ECG / BCG,328,40.94881398252185,4058
marker_artifact,Cochlear implant artifact,7,0.8739076154806492,80
marker_artifact,Drift / sweat / cable,41,5.118601747815231,61
marker_artifact,IC/component label,22,2.746566791510612,68
marker_artifact,Line / mains noise,472,58.92634207240949,2196
marker_artifact,Motion / head movement,369,46.06741573033708,1975
marker_artifact,Muscle / EMG,483,60.29962546816479,5720
marker_artifact,Ocular / blink / EOG,621,77.52808988764045,14442
marker_artifact,Rejected epoch / segment,77,9.61298377028714,186
marker_artifact,TMS artifact,82,10.237203495630462,499
marker_artifact,fMRI gradient artifact,47,5.867665418227216,177
method,ASR,95,11.860174781523096,1044
method,CCA,114,14.232209737827715,1083
method,CNN,254,31.7103620474407,4965
method,EMD/EEMD,148,18.476903870162296,1745
method,FFT,143,17.852684144818976,527
method,FIR,147,18.352059925093634,459
method,ICA,580,72.40948813982521,7452
method,LDA,111,13.857677902621722,719
method,LSTM,163,20.34956304619226,1810
method,PCA,245,30.586766541822723,1414
method,RNN,130,16.22971285892634,869
method,Random Forest,125,15.605493133583021,585
method,SOBI/BSS,224,27.965043695380775,1695
method,SVM,263,32.833957553058674,3270
method,Welch,140,17.478152309612984,379
method,band-pass,470,58.67665418227216,2658
method,classifier,468,58.42696629213483,5406
method,high-pass,263,32.833957553058674,1352
method,interpolation,238,29.712858926342072,742
method,kNN,152,18.976279650436954,3220
method,low-pass,274,34.20724094881398,1230
method,notch/band-stop,263,32.833957553058674,814
method,reconstruction/imputation,344,42.94631710362047,2115
method,regression/GLM,392,48.93882646691635,2534
method,spectrogram/STFT,138,17.228464419475657,1326
method,threshold,544,67.9151061173533,3261
method,wavelet/DWT/CWT,377,47.06616729088639,5765
method,z-score,102,12.734082397003744,622
metric,AUC/ROC,139,17.35330836454432,1517
metric,F1/F-score,199,24.84394506866417,3300
metric,MAE,34,4.2446941323345815,375
metric,MSE,110,13.732833957553058,749
metric,R2,91,11.36079900124844,590
metric,RMSE,58,7.240948813982522,739
metric,SNR,327,40.823970037453186,4287
metric,accuracy,573,71.53558052434457,11299
metric,correlation,594,74.15730337078652,6265
metric,effect size/Cohen d/CI,195,24.344569288389515,1147
metric,p-value,335,41.822721598002495,2806
metric,precision,321,40.0749063670412,1833
metric,recall,193,24.094881398252184,1105
metric,removed components/rejection rate,44,5.493133583021224,76
metric,sensitivity,438,54.6816479400749,2402
metric,specificity,193,24.094881398252184,789
tool,ADJUST,218,27.21598002496879,473
tool,Automagic,14,1.7478152309612984,20
tool,Autoreject,17,2.1223470661672907,92
tool,BioSemi,68,8.489388264669163,153
tool,BrainVision,49,6.117353308364544,155
tool,Brainstorm,29,3.620474406991261,130
tool,CleanLine,30,3.745318352059925,53
tool,EDF,44,5.493133583021224,101
tool,EEGLAB,362,45.19350811485643,1345
tool,FASTER,280,34.95630461922597,704
tool,FieldTrip,72,8.98876404494382,235
tool,ICLabel,91,11.36079900124844,331
tool,Keras,24,2.9962546816479403,48
tool,LSL,34,4.2446941323345815,220
tool,MARA,42,5.2434456928838955,111
tool,MATLAB,434,54.18227215980025,1107
tool,MNE-Python,60,7.49063670411985,251
tool,PREP pipeline,55,6.866416978776529,217
tool,PyTorch,29,3.620474406991261,40
tool,Python,214,26.716604244694132,748
tool,R,56,6.991260923845194,107
tool,SASICA,17,2.1223470661672907,52
tool,XGBoost,26,3.2459425717852683,118
tool,Zapline,13,1.6229712858926342,126
tool,clean_rawdata,32,3.9950062421972534,67
tool,scikit-learn,61,7.615480649188514,270
