article_id,level,label,mention_count
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",marker_artifact,Ocular / blink / EOG,47
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",marker_artifact,Line / mains noise,12
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",marker_artifact,Muscle / EMG,13
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",marker_artifact,Motion / head movement,2
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",marker_artifact,Cardiac / ECG / BCG,16
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",marker_artifact,TMS artifact,1
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",marker_artifact,Artifact label / class,5
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",marker,Artifact annotation/label,2
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",marker,Response marker,1
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",feature,amplitude,1
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",feature,correlation,7
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",feature,band power,3
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",feature,variance,4
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",feature,topography,6
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",feature,PSD,29
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",feature,entropy,10
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",feature,covariance,4
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",feature,RMS,19
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",feature,SampEn,2
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",feature,ApEn,1
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",method,ICA,22
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",method,threshold,7
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",method,band-pass,6
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",method,regression/GLM,1
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",method,classifier,5
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",method,reconstruction/imputation,45
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",method,wavelet/DWT/CWT,65
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",method,notch/band-stop,2
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",method,SVM,25
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",method,PCA,4
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",method,CNN,2
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",method,SOBI/BSS,74
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",method,kNN,61
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",method,FIR,1
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",method,EMD/EEMD,3
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",method,RNN,1
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",method,CCA,3
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",tool,MATLAB,4
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",tool,EEGLAB,3
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",tool,FASTER,1
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",tool,ADJUST,1
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",metric,correlation,7
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",metric,accuracy,19
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",metric,sensitivity,4
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",metric,SNR,27
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",metric,precision,2
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",metric,p-value,14
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",metric,MSE,6
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",metric,RMSE,8
"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran",metric,MAE,4
002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism,marker_artifact,Ocular / blink / EOG,41
002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism,marker_artifact,Line / mains noise,2
002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism,marker_artifact,Muscle / EMG,47
002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism,marker_artifact,Cardiac / ECG / BCG,19
002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism,marker_artifact,Rejected epoch / segment,1
002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism,marker_artifact,Artifact label / class,1
002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism,marker,Sleep stage label,1
002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism,marker,Seizure onset/offset label,2
002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism,feature,amplitude,5
002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism,feature,correlation,9
002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism,feature,duration,1
002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism,feature,variance,1
002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism,feature,topography,1
002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism,feature,PSD,20
002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism,feature,spatial pattern,3
002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism,feature,covariance,1
002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism,feature,RMS,10
002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism,method,ICA,6
