row_level,col_level,row,col,article_id
metric,marker_artifact,RMSE,Muscle / EMG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,feature,SOBI/BSS,PSD,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,feature,SOBI/BSS,RMS,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,notch/band-stop,Cardiac / ECG / BCG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,band-pass,Line / mains noise,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,SVM,Artifact label / class,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,reconstruction/imputation,Muscle / EMG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,tool,ICA,FASTER,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
feature,marker_artifact,entropy,Ocular / blink / EOG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,feature,ICA,topography,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
feature,marker_artifact,topography,Muscle / EMG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,SVM,Cardiac / ECG / BCG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,feature,wavelet/DWT/CWT,topography,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,band-pass,Muscle / EMG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,feature,SVM,entropy,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
metric,marker_artifact,SNR,Ocular / blink / EOG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,tool,CCA,FASTER,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
metric,marker_artifact,accuracy,Artifact label / class,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,CNN,Ocular / blink / EOG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,feature,reconstruction/imputation,RMS,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,kNN,Artifact label / class,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,feature,reconstruction/imputation,topography,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
metric,marker_artifact,accuracy,Cardiac / ECG / BCG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,notch/band-stop,Line / mains noise,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,ICA,Ocular / blink / EOG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,kNN,Cardiac / ECG / BCG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
feature,tool,correlation,FASTER,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,tool,SOBI/BSS,FASTER,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,wavelet/DWT/CWT,Ocular / blink / EOG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,FIR,Ocular / blink / EOG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,feature,SOBI/BSS,topography,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,ICA,Cardiac / ECG / BCG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
metric,marker_artifact,RMSE,Ocular / blink / EOG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,notch/band-stop,Muscle / EMG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,feature,kNN,variance,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,feature,reconstruction/imputation,variance,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,feature,ICA,SampEn,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
feature,marker_artifact,PSD,Ocular / blink / EOG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,feature,SOBI/BSS,covariance,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,reconstruction/imputation,Ocular / blink / EOG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,wavelet/DWT/CWT,Cardiac / ECG / BCG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,feature,SOBI/BSS,band power,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,feature,wavelet/DWT/CWT,SampEn,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,feature,ICA,entropy,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
feature,marker_artifact,topography,Ocular / blink / EOG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
metric,marker_artifact,RMSE,Cardiac / ECG / BCG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,tool,wavelet/DWT/CWT,MATLAB,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
feature,marker_artifact,PSD,Cardiac / ECG / BCG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,feature,wavelet/DWT/CWT,entropy,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,band-pass,Ocular / blink / EOG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,SOBI/BSS,Ocular / blink / EOG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
feature,marker_artifact,SampEn,Ocular / blink / EOG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,feature,ICA,correlation,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
metric,marker_artifact,SNR,Cardiac / ECG / BCG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,feature,EMD/EEMD,correlation,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,CNN,Cardiac / ECG / BCG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
metric,marker_artifact,accuracy,Muscle / EMG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,SOBI/BSS,Cardiac / ECG / BCG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,kNN,Muscle / EMG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,feature,SVM,variance,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,tool,SOBI/BSS,EEGLAB,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,tool,threshold,MATLAB,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,feature,SOBI/BSS,entropy,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,FIR,Cardiac / ECG / BCG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,reconstruction/imputation,Artifact label / class,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
metric,marker_artifact,p-value,Artifact label / class,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,tool,ICA,EEGLAB,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
feature,marker_artifact,topography,Artifact label / class,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,feature,SOBI/BSS,correlation,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,reconstruction/imputation,Cardiac / ECG / BCG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,tool,reconstruction/imputation,MATLAB,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,SOBI/BSS,Artifact label / class,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
feature,marker_artifact,topography,Cardiac / ECG / BCG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,SVM,Ocular / blink / EOG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,SOBI/BSS,Line / mains noise,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,SOBI/BSS,Motion / head movement,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
marker_artifact,tool,Ocular / blink / EOG,EEGLAB,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,band-pass,Cardiac / ECG / BCG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
metric,marker_artifact,SNR,Muscle / EMG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,CNN,Muscle / EMG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,feature,CCA,correlation,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,FIR,Line / mains noise,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
metric,marker_artifact,accuracy,Ocular / blink / EOG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,SOBI/BSS,Muscle / EMG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,feature,reconstruction/imputation,correlation,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
marker_artifact,tool,Cardiac / ECG / BCG,MATLAB,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,feature,reconstruction/imputation,PSD,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,ICA,Muscle / EMG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,kNN,Ocular / blink / EOG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,reconstruction/imputation,Line / mains noise,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,wavelet/DWT/CWT,Muscle / EMG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,marker_artifact,FIR,Muscle / EMG,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,feature,regression/GLM,variance,"001_PMC9449652_EEG artifact removal using sub-space decomposition, nonlinear dynamics, stationary wavelet tran"
method,feature,LSTM,amplitude,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
method,marker_artifact,notch/band-stop,Line / mains noise,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
metric,marker_artifact,correlation,Cardiac / ECG / BCG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
method,feature,ICA,correlation,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
method,marker_artifact,RNN,Ocular / blink / EOG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
method,marker_artifact,ICA,Ocular / blink / EOG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
feature,marker_artifact,RMS,Ocular / blink / EOG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
method,marker_artifact,PCA,Muscle / EMG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
method,marker_artifact,EMD/EEMD,Ocular / blink / EOG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
metric,marker_artifact,SNR,Cardiac / ECG / BCG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
metric,marker_artifact,RMSE,Muscle / EMG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
method,feature,EMD/EEMD,correlation,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
method,marker_artifact,CCA,Muscle / EMG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
method,marker_artifact,reconstruction/imputation,Rejected epoch / segment,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
metric,marker_artifact,MSE,Muscle / EMG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
method,marker_artifact,band-pass,Line / mains noise,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
method,marker_artifact,regression/GLM,Ocular / blink / EOG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
method,tool,CNN,ADJUST,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
feature,marker_artifact,PSD,Muscle / EMG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
method,marker_artifact,wavelet/DWT/CWT,Ocular / blink / EOG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
method,marker_artifact,reconstruction/imputation,Muscle / EMG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
metric,marker_artifact,correlation,Rejected epoch / segment,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
metric,marker_artifact,correlation,Muscle / EMG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
method,marker_artifact,band-pass,Cardiac / ECG / BCG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
metric,marker_artifact,SNR,Muscle / EMG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
feature,marker_artifact,RMS,Cardiac / ECG / BCG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
feature,marker_artifact,correlation,Cardiac / ECG / BCG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
method,marker_artifact,LSTM,Cardiac / ECG / BCG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
feature,marker_artifact,duration,Muscle / EMG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
feature,marker_artifact,amplitude,Muscle / EMG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
method,marker_artifact,PCA,Ocular / blink / EOG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
feature,marker_artifact,topography,Muscle / EMG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
metric,marker_artifact,RMSE,Ocular / blink / EOG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
method,feature,PCA,correlation,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
method,marker_artifact,notch/band-stop,Muscle / EMG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
method,marker_artifact,CCA,Ocular / blink / EOG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
method,marker_artifact,CNN,Muscle / EMG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
method,feature,CCA,correlation,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
metric,marker_artifact,MSE,Ocular / blink / EOG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
method,tool,LSTM,ADJUST,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
feature,marker_artifact,correlation,Rejected epoch / segment,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
feature,marker_artifact,PSD,Ocular / blink / EOG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
method,feature,wavelet/DWT/CWT,topography,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
method,marker_artifact,reconstruction/imputation,Ocular / blink / EOG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
method,tool,reconstruction/imputation,ADJUST,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
method,marker_artifact,SOBI/BSS,Muscle / EMG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
metric,marker_artifact,accuracy,Ocular / blink / EOG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
method,feature,reconstruction/imputation,correlation,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
feature,marker_artifact,correlation,Muscle / EMG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
method,marker_artifact,LSTM,Muscle / EMG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
metric,marker_artifact,correlation,Ocular / blink / EOG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
feature,marker_artifact,RMS,Muscle / EMG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
metric,marker_artifact,SNR,Ocular / blink / EOG,002_PMC12134218_A novel EEG artifact removal algorithm based on an advanced attention mechanism
