row_level,col_level,row,col,article_count
feature,marker_artifact,ApEn,Cardiac / ECG / BCG,3
feature,marker_artifact,ApEn,Line / mains noise,1
feature,marker_artifact,ApEn,Muscle / EMG,1
feature,marker_artifact,ApEn,Ocular / blink / EOG,5
feature,marker_artifact,PSD,Artifact label / class,2
feature,marker_artifact,PSD,Bad channel / electrode contact,21
feature,marker_artifact,PSD,Cardiac / ECG / BCG,34
feature,marker_artifact,PSD,Cochlear implant artifact,1
feature,marker_artifact,PSD,Drift / sweat / cable,2
feature,marker_artifact,PSD,IC/component label,4
feature,marker_artifact,PSD,Line / mains noise,62
feature,marker_artifact,PSD,Motion / head movement,28
feature,marker_artifact,PSD,Muscle / EMG,71
feature,marker_artifact,PSD,Ocular / blink / EOG,90
feature,marker_artifact,PSD,Rejected epoch / segment,6
feature,marker_artifact,PSD,fMRI gradient artifact,1
feature,marker_artifact,RMS,Artifact label / class,1
feature,marker_artifact,RMS,Bad channel / electrode contact,10
feature,marker_artifact,RMS,Cardiac / ECG / BCG,13
feature,marker_artifact,RMS,Cochlear implant artifact,2
feature,marker_artifact,RMS,Drift / sweat / cable,1
feature,marker_artifact,RMS,Line / mains noise,8
feature,marker_artifact,RMS,Motion / head movement,9
feature,marker_artifact,RMS,Muscle / EMG,28
feature,marker_artifact,RMS,Ocular / blink / EOG,32
feature,marker_artifact,RMS,Rejected epoch / segment,2
feature,marker_artifact,RMS,TMS artifact,3
feature,marker_artifact,RMS,fMRI gradient artifact,1
feature,marker_artifact,SampEn,Cardiac / ECG / BCG,6
feature,marker_artifact,SampEn,Line / mains noise,1
feature,marker_artifact,SampEn,Motion / head movement,2
feature,marker_artifact,SampEn,Muscle / EMG,5
feature,marker_artifact,SampEn,Ocular / blink / EOG,17
feature,marker_artifact,SampEn,TMS artifact,1
feature,marker_artifact,alpha,Bad channel / electrode contact,8
feature,marker_artifact,alpha,Cardiac / ECG / BCG,15
feature,marker_artifact,alpha,Cochlear implant artifact,1
feature,marker_artifact,alpha,Drift / sweat / cable,1
feature,marker_artifact,alpha,IC/component label,1
feature,marker_artifact,alpha,Line / mains noise,14
feature,marker_artifact,alpha,Motion / head movement,16
feature,marker_artifact,alpha,Muscle / EMG,16
feature,marker_artifact,alpha,Ocular / blink / EOG,27
feature,marker_artifact,alpha,Rejected epoch / segment,4
feature,marker_artifact,alpha,TMS artifact,5
feature,marker_artifact,alpha,fMRI gradient artifact,4
feature,marker_artifact,amplitude,Artifact label / class,4
feature,marker_artifact,amplitude,Bad channel / electrode contact,46
feature,marker_artifact,amplitude,Cardiac / ECG / BCG,52
